"Company","52-Week Low","Recent Price","52-Week High","Beta","Daily Volume (3-month avg)","Daily Volume (10-day avg)","52-Week Change","52-Week Change relative to S&P500","Market Capitalization","Shares Outstanding","Float","Annual Dividend","Dividend Yield","Last Split","Book Value","Earnings (ttm)","Earnings (mrq)","Sales (per share)","Cash","Price/Book","Price/Earnings","Price/Sales","Sales (ttm)","EBITDA","Income","Profit Margin","Operating Margin","Fiscal Year Ends","Most recent quarter","Return Assets","Return Equity","Current Ratio","Debt/Equity","Total Cash","Shares Short","Percent of Float","Shares Short (Prior Month)","Short Ratio","Daily Volume","Start Price","End Price","Company Return","Market Return","Avg Trade Volume","Delta Return"
"AANI.OB","0.52","0.73","1.25","4.67","113,343","289,614","-28.43%","8.85%","19.97M","27.36M","22.17M","N/A","N/A","N/A","0.115","-0.66","-0.66","0.001","0.113","6.35","N/A","777.79","25.68K","-8.42M","-15.17M","N/A","-37926.83%","31-Dec","30-Jun-06","-76.49%","-317.52%","1.624","0.879","3.08M","0","N/A","0","0","75,975","0.69","0.89","28.99","3.50","254767.23","25.48"
"AAO.V","none","0.395","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","60,000","0.36","0.33","-8.33","3.50","153172.50","-11.84"
"AAON","16.10","23.75","28.96","1.54","27,936.9","18,814.3","26.82%","8.85%","294.31M","12.39M","8.62M","0.20","0.90%","05-Jun-02","6.879","0.97","0.97","17.053","0.086","3.38","24.59","1.37","209.78M","28.01M","12.25M","5.84%","9.08%","31-Dec","30-Jun-06","10.17%","15.23%","1.834","0.028","1.07M","391.90K","4.30%","350.28K","13.1","15,425","22.91","23.41","2.18","3.50","384129.35","-1.32"
"AAP","27.65","33.51","45.50","1.66","1,551,870","1,308,810","-11.49%","8.85%","3.52B","105.12M","98.10M","0.24","0.70%","26-Sep-05","8.886","2.17","2.17","41.589","0.125","3.85","15.44","0.80","4.48B","550.48M","237.17M","5.29%","9.20%","31-Dec","15-Jul-06","10.28%","26.30%","1.281","0.64","13.13M","2.72M","2.70%","2.02M","2.5","961,400","33.39","35.02","4.88","3.50","28399697.00","1.38"
"AAPL","47.87","76.41","86.40","2.04","30,016,500","28,874,000","45.23%","8.85%","65.18B","852.99M","842.50M","N/A","N/A","28-Feb-05","10.983","2.15","2.15","21.719","10.757","7.07","35.61","3.65","18.16B","2.56B","1.88B","10.34%","12.46%","24-Sep","01-Jul-06","11.48%","23.19%","2.488","N/A","9.18B","28.26M","3.30%","24.53M","0.8","28,661,511","74.86","81.08","8.31","3.50","1636341446.24","4.81"
"AAPO.OB","0.01","0.006","0.01","-1.91","24,052.3","4,400","N/A","8.85%","320.71K","53.45M","24.16M","N/A","N/A","11-Aug-03","-0.067","-0.019","-0.019","0.025","0.002","N/A","N/A","0.24","1.35M","-755.68K","-1.04M","-76.67%","-65.34%","31-Dec","30-Jun-06","-64.15%","N/A","0.118","N/A","106.26K","N/A","N/A","N/A","N/A","46,000","","","0.00","3.50","0.00","-3.50"
"AAR","none","21.45","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","8,700","21.85","23.89","9.34","3.50","437880.00","5.83"
"AARD.OB","N/A","3.00","N/A","1.21","N/A","N/A","N/A","N/A","48.11M","16.04M","1.55M","N/A","N/A","N/A","0.002","0.00","0.00","0.599","0.007","1,500.00","750.00","5.01","9.61M","N/A","63.98K","0.67%","3.66%","31-Dec","30-Jun-06","0.51%","N/A","0.049","424.204","116.74K","N/A","N/A","N/A","N/A","0","","","0.00","3.50","0.00","-3.50"
"AASP.OB","0.18","0.25","0.47","0.65","941.538","300","-16.67%","8.85%","850.00K","3.40M","1.61M","N/A","N/A","N/A","-2.285","-0.51","-0.51","0.639","0.01","N/A","N/A","0.39","2.17M","-617.55K","-1.74M","-79.86%","-33.01%","31-Dec","30-Jun-06","-38.55%","N/A","0.02","N/A","34.68K","0","N/A","0","0","0","","","0.00","3.50","0.00","-3.50"
"AATI","5.35","5.49","15.75","2.84","312,774","1,073,200","-53.31%","8.85%","241.08M","43.91M","37.68M","N/A","N/A","N/A","3.357","0.09","0.09","2.024","2.905","1.72","63.84","3.19","79.66M","11.98M","3.93M","4.94%","8.66%","31-Dec","30-Jun-06","6.19%","4.19%","11.494","N/A","127.57M","2.02M","5.00%","1.94M","11.4","700,478","5.23","6.22","18.93","3.50","1539568.05","15.43"
"AATK","0.94","1.27","2.10","2.09","15,758.5","14,542.9","-28.57%","8.85%","9.62M","7.58M","7.20M","N/A","N/A","N/A","0.812","0.00","0.00","1.184","0.128","1.60","635.00","1.12","8.78M","587.01K","11.96K","0.14%","-0.29%","31-Dec","30-Jun-06","0.24%","0.20%","4.899","N/A","970.17K","3.62K","0.10%","2.57K","0.3","12,000","1.36","1.17","-13.97","3.50","9708.25","-17.47"
"AAU","1.60","2.23","3.30","0","51,252.3","35,514.3","N/A","8.85%","96.28M","43.18M","40.20M","N/A","N/A","N/A","0.568","-0.05","-0.05","N/A","0.419","3.96","N/A","N/A","N/A","-1.54M","-1.77M","N/A","N/A","31-Dec","30-Jun-06","-9.18%","-10.78%","36.57","N/A","18.09M","411","N/A","18.64K","0","50,200","2.25","2.45","8.89","3.50","80152.50","5.39"
"AAU.V","none","1.64","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","51,300","1.56","2.05","31.41","3.50","265528.16","27.91"
"AAUK","none","21.15","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","","none","none","none","none","N/A","N/A","0","0","none","none","none","none","none","none","none","none","none","1,067,692","21.61","22.68","4.95","3.50","16469863.31","1.45"
"AAV","12.14","12.35","24.78","0","536,855","775,186","-28.97%","8.85%","1.28B","103.40M","99.70M","2.17","17.50%","N/A","10.32","1.38","1.38","4.573","N/A","1.21","8.95","4.77","270.39M","193.82M","81.90M","30.29%","28.59%","31-Dec","30-Jun-06","3.46%","11.84%","0.884","0.619","N/A","0","N/A","0","0","1,119,900","11.95","13.64","14.14","3.50","10566758.50","10.64"
"AAWW","30.00","43.89","52.00","-0.89","151,292","117,571","N/A","8.85%","879.95M","20.05M","14.39M","N/A","N/A","N/A","18.580999","3.07","3.07","76.977","15.543","2.36","14.28","0.56","1.57B","199.40M","64.33M","4.09%","10.01%","31-Dec","30-Jun-06","8.71%","19.23%","1.615","1.489","311.62M","1.06M","5.40%","897.45K","8","50,466","43.57","45.49","4.41","3.50","3766744.90","0.90"
"AB","44.51","69.98","72.11","0.5","222,035","275,657","53.59%","8.85%","5.90B","84.27M","82.45M","3.56","5.20%","03-Apr-98","17.478001","3.43","3.43","3.827","N/A","3.98","20.39","18.47","317.06M","337.76M","286.67M","90.42%","100.00%","31-Dec","30-Jun-06","13.96%","20.31%","N/A","N/A","N/A","620.43K","0.80%","619.89K","3.8","273,900","68.99","77.70","12.63","3.50","17914092.00","9.12"
"ABA","none","25.46","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","16,900","25.58","25.83","0.98","3.50","423291.00","-2.52"
"ABAT.OB","0.41","0.70","1.14","-9.01","47,329.2","46,571.4","-2.74%","8.85%","34.39M","49.13M","39.57M","N/A","N/A","13-Jul-04","0.247","0.05","0.05","0.268","0","2.87","14.58","3.86","9.04M","2.44M","1.63M","18.04%","22.43%","31-Dec","30-Jun-06","5.71%","14.55%","0.742","0.318","1.51K","N/A","N/A","N/A","N/A","50,670","0.73","0.70","-4.11","3.50","33289.35","-7.61"
"ABAX","12.65","23.73","26.85","1.66","221,700","189,600","71.31%","8.85%","488.24M","20.58M","19.99M","N/A","N/A","N/A","3.691","0.41","0.41","3.736","1.746","6.07","57.88","6.14","75.01M","15.31M","8.88M","11.83%","17.17%","31-Mar","30-Jun-06","10.25%","12.81%","6.855","N/A","35.92M","3.02M","15.30%","2.91M","11.4","428,757","23.07","20.06","-13.05","3.50","4350251.98","-16.55"
"ABB","6.92","13.21","14.85","0.45","2,406,670","2,311,930","85.10%","8.85%","28.06B","2.12B","2.12B","0.08","0.60%","N/A","2.53","0.46","0.46","11.24","1.68","5.25","28.72","1.22","23.11B","2.73B","1.18B","4.25%","9.30%","31-Dec","30-Jun-06","5.77%","27.96%","1.345","0.607","3.57B","5.71M","N/A","3.61M","2.5","2,142,000","13.16","14.92","13.37","3.50","24323316.00","9.87"
"ABBC","11.90","15.25","15.72","1.08","31,518.5","5,628.57","19.48%","8.85%","233.14M","15.29M","6.26M","0.24","1.60%","N/A","7.221","0.44","0.44","1.668","2.031","2.11","34.82","9.31","25.08M","N/A","6.67M","26.61%","46.89%","Financial","Savings & Loans","0.79%","5.79%","N/A","N/A","31.04M","265.26K","1.80%","237.68K","13.9","9,454","14.88","16.20","8.87","3.50","206697.66","5.37"
"ABBI","19.48","25.77","49.70","-0.98","422,686","256,214","-45.14%","8.85%","4.27B","165.63M","54.06M","N/A","N/A","03-Sep-03","6.201","-0.27","-0.27","7.976","0.328","3.97","N/A","7.04","578.50M","186.49M","-19.40M","-3.35%","26.13%","31-Dec","30-Jun-06","9.05%","-2.85%","1.648","0.249","54.28M","4.50M","3.60%","3.99M","7.3","476,881","27.38","26.40","-3.58","3.50","11652075.20","-7.08"
"ABC","36.66","44.59","48.96","0.47","1,204,520","1,504,730","15.33%","8.85%","8.99B","201.56M","200.52M","0.10","0.20%","29-Dec-05","21.021999","1.743","1.743","287.12","8.227","2.11","25.58","0.15","59.48B","802.96M","367.38M","0.61%","1.17%","30-Sep","30-Jun-06","3.67%","8.73%","1.251","0.256","1.66B","0","N/A","0","0","1,208,200","45.22","47.20","4.38","3.50","51662512.00","0.88"
"ABCB","17.57","27.86","28.25","1.2","38,735.4","23,685.7","44.83%","8.85%","362.88M","13.03M","12.25M","0.56","2.00%","11-Mar-05","11.75","1.35","1.35","5.886","6.951","2.34","20.67","4.86","73.63M","N/A","17.04M","23.15%","58.17%","31-Dec","30-Jun-06","1.10%","12.26%","N/A","N/A","90.54M","496.53K","4.00%","468.76K","8.7","14,322","25.90","27.91","7.76","3.50","526766.82","4.26"
"ABCO","44.50","50.85","57.27","0.62","95,832.3","68,628.6","0.34%","8.85%","959.13M","18.86M","18.86M","N/A","N/A","N/A","8.018","1.28","1.28","9.018","0.872","6.33","39.70","5.62","170.51M","45.99M","25.41M","14.90%","24.01%","31-Mar","30-Jun-06","10.67%","17.05%","0.712","N/A","16.44M","1.31M","7.00%","1.14M","11.1","53,257","50.50","55.22","9.35","3.50","11368154.75","5.84"
"ABCP.OB","0.44","0.45","0.72","-0.42","9,410.77","2,214.29","-25.00%","8.85%","20.35M","45.21M","29.83M","N/A","N/A","N/A","0.568","0.09","0.09","0.004","0.045","0.79","5.06","116.93","174.00K","-7.45M","-5.89M","2339.08%","-4311.49%","31-Dec","30-Jun-06","-11.84%","-24.26%","2.035","N/A","2.02M","N/A","N/A","N/A","N/A","3,797","","","0.00","3.50","0.00","-3.50"
"ABCW","28.11","28.95","32.78","0.85","52,644.6","48,442.9","-0.45%","8.85%","634.82M","21.93M","18.37M","0.68","2.30%","25-Aug-98","14.907","2.00","2.00","8.82","5.443","1.95","14.50","3.35","190.07M","N/A","43.77M","23.03%","64.17%","31-Mar","30-Jun-06","1.03%","13.64%","N/A","N/A","119.36M","927.06K","4.70%","935.24K","24.7","48,979","28.48","29.04","1.97","3.50","1057002.96","-1.54"
"ABD","17.95","22.45","28.58","0.25","338,631","630,543","-21.14%","8.85%","1.20B","53.52M","45.25M","N/A","N/A","N/A","7.551","0.41","0.41","36.921","0.77","2.91","55.30","0.63","1.87B","170.30M","20.80M","1.11%","6.03%","31-Dec","30-Jun-06","5.53%","4.38%","1.729","2.161","41.20M","4.26M","8.00%","4.49M","15.4","396,300","22.21","24.30","9.41","3.50","6007494.50","5.91"
"ABER","none","32.65","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","0.57","none","none","none","none","-28.1%","N/A","0","0","none","none","none","none","none","none","none","none","none","48,115","31.82","37.06","16.47","3.50","1859322.78","12.97"
"ABEW.PK","N/A","0.18","N/A","N/A","N/A","N/A","N/A","N/A","13.25M","73.60M","34.01M","N/A","N/A","N/A","-0.03","-0.07","-0.07","0.002","0.001","N/A","N/A","84.23","139.79K","-2.51M","-3.69M","N/A","-2740.08%","31-Dec","30-Jun-06","-218.02%","N/A","0.046","N/A","69.63K","N/A","N/A","N/A","N/A","72,894","0.20","0.16","-20.00","3.50","13442.50","-23.50"
"ABFS","32.36","43.69","50.67","1.65","482,400","571,471","33.49%","8.85%","1.10B","25.16M","21.60M","0.60","1.40%","N/A","23.308001","4.25","4.25","76.902","6.265","1.91","10.28","0.58","1.94B","227.27M","106.34M","5.62%","8.23%","31-Dec","30-Jun-06","11.33%","19.69%","1.424","0.041","157.64M","2.52M","11.00%","2.66M","4.4","649,733","42.39","40.98","-3.33","3.50","27262001.19","-6.83"
"ABG","15.63","20.36","22.15","0.46","256,332","1,314,390","21.35%","8.85%","675.89M","33.20M","13.49M","0.80","4.00%","N/A","17.740999","2.009","2.009","174.705","2.684","1.15","10.13","0.12","5.75B","202.69M","66.04M","1.17%","3.13%","31-Dec","30-Jun-06","5.90%","12.10%","1.464","1.964","89.10M","655.30K","2.10%","639.36K","8.3","271,800","20.74","24.00","15.72","3.50","11538062.00","12.22"
"ABG.V","none","2.36","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","","none","none","none","none","N/A","N/A","0","0","none","none","none","none","none","none","none","none","none","83,950","2.30","2.50","8.70","3.50","199075.00","5.19"
"ABHH.OB","1.80","3.30","6.95","0.54","35,816.9","16,885.7","-41.54%","8.85%","62.39M","18.91M","15.34M","N/A","N/A","N/A","1.163","0.02","0.02","1.995","0.709","2.94","173.68","1.73","37.41M","4.71M","360.00K","0.96%","8.21%","31-Dec","30-Jun-06","7.65%","1.69%","3.617","N/A","13.41M","N/A","N/A","N/A","N/A","13,600","3.30","3.00","-9.09","3.50","135019.50","-12.59"
"ABI","22.10","32.80","33.59","0.97","1,313,220","1,278,370","42.15%","8.85%","5.98B","182.24M","181.31M","0.17","0.50%","22-Feb-00","8.147","1.43","1.43","10.22","2.052","3.97","22.87","3.08","1.91B","388.43M","275.22M","14.40%","16.29%","30-June","30-Jun-06","8.64%","18.53%","1.767","N/A","373.92M","5.26M","2.90%","5.70M","4.9","1,423,400","32.77","37.30","13.82","3.50","43138232.50","10.32"
"ABI.V","none","0.51","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","21,500","0.54","0.62","14.81","3.50","21161.06","11.31"
"ABIX","7.11","7.3899","18.50","5.43","13,664.6","9,242.86","-43.03%","8.85%","12.64M","1.71M","869.09K","N/A","N/A","N/A","6.811","1.251","1.251","42.915","0.231","1.06","5.91","0.17","73.43M","4.41M","2.14M","2.91%","5.37%","31-Dec","30-Jun-06","10.99%","20.22%","1.816","0.607","395.05K","6.49K","0.70%","7.05K","0.4","2,206","7.18","7.25","0.97","3.50","40192.47","-2.53"
"ABK","67.57","82.44","87.50","1.57","810,560","783,114","18.05%","8.85%","8.73B","105.92M","104.93M","0.72","0.90%","13-Dec-00","53.217999","7.80","7.80","16.782","4.481","1.56","10.57","4.91","1.79B","1.23B","839.08M","46.86%","68.28%","31-Dec","30-Jun-06","3.84%","15.36%","0.284","0.417","474.59M","1.43M","1.40%","1.72M","2","755,700","82.87","83.49","0.75","3.50","78529430.00","-2.75"
"ABKD.OB","10.07","10.40","12.82","-0.03","2,158.46","5,414.29","-7.17%","8.85%","32.84M","3.16M","1.59M","N/A","N/A","N/A","9.477","1.43","1.43","7.313","3.449","1.09","7.26","2.17","15.08M","N/A","3.04M","20.19%","40.74%","31-Dec","31-Dec-05","1.09%","12.95%","N/A","N/A","10.89M","N/A","N/A","N/A","N/A","23,058","10.45","11.25","7.66","3.50","2351.25","4.15"
"ABL","9.08","10.14","13.09","0.66","747.692","285.714","-9.22%","8.85%","34.89M","3.44M","1.29M","N/A","N/A","12-Jul-94","5.885","-0.60","-0.60","132.886","5.274","1.77","N/A","0.08","457.39M","46.12M","-1.90M","-0.45%","6.58%","31-Dec","30-Jun-06","5.31%","-8.54%","1.314","7.2","18.15M","340","N/A","840","0.3","1,900","10.00","10.50","5.00","3.50","11550.00","1.50"
"ABLE","4.11","4.81","14.99","2.98","72,432.3","22,285.7","-69.34%","8.85%","15.05M","3.13M","2.02M","N/A","N/A","N/A","1.594","-2.51","-2.51","27.546","0.513","2.80","N/A","0.19","72.82M","-1.42M","-6.62M","-9.10%","-4.15%","30-June","31-Mar-06","-11.90%","-155.54%","1.336","1.124","1.61M","322.54K","10.90%","312.24K","4.7","44,321","4.54","","0.00","3.50","0.00","-3.50"
"ABM","16.11","19.08","21.89","1.32","183,798","260,471","-7.81%","8.85%","934.29M","48.97M","43.44M","0.44","2.30%","07-May-02","10.049","0.805","0.805","54.537","1.053","1.89","23.70","0.35","2.67B","97.33M","40.13M","1.50%","2.77%","31-Oct","31-Jul-06","5.33%","8.32%","1.96","N/A","51.54M","2.79M","5.90%","3.19M","17.2","183,600","18.71","19.86","6.15","3.50","3651185.50","2.64"
"ABMC","0.85","0.9499","1.26","1.59","29,950.8","38,300","-6.80%","8.85%","20.38M","21.46M","17.97M","N/A","N/A","N/A","0.268","-0.023","-0.023","0.627","0.028","3.58","N/A","1.54","13.37M","-50.00K","-490.00K","-3.66%","-3.22%","31-Dec","30-Jun-06","-3.39%","-8.30%","4.764","0.145","591.00K","13.10K","0.10%","394","0.5","6,700","","","0.00","3.50","0.00","-3.50"
"ABMD","7.81","15.10","16.19","0.69","142,395","124,829","44.51%","8.85%","401.13M","26.57M","21.99M","N/A","N/A","02-Oct-00","2.527","-0.65","-0.65","1.839","0.933","5.94","N/A","8.26","48.26M","-12.14M","-17.07M","-35.38%","-34.79%","31-Mar","30-Jun-06","-11.78%","-23.47%","5.728","N/A","24.80M","1.92M","7.90%","1.87M","16.7","113,933","14.73","14.20","-3.60","3.50","1130179.07","-7.10"
"ABN","22.70","29.15","31.34","1.36","298,280","260,514","22.63%","8.85%","55.15B","1.89B","1.89B","1.05","3.60%","13-May-97","15.51","2.15","2.15","17.77","149.549","1.88","13.56","1.66","33.27B","N/A","4.05B","12.30%","28.96%","31-Dec","30-Jun-06","0.38%","15.30%","N/A","N/A","282.95B","508.52K","N/A","672.92K","2","216,900","29.20","29.17","-0.10","3.50","7308743.50","-3.60"
"ABN.V","none","0.445","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","105,800","0.45","0.58","28.89","3.50","33591.90","25.39"
"ABNJ","9.72","11.98","12.21","0","15,620","2,600","N/A","8.85%","170.14M","14.20M","4.26M","0.16","1.30%","N/A","8.828","0.47","0.47","2.829","0.44","1.36","25.44","12.40","13.73M","N/A","2.34M","17.03%","34.64%","Financial","Savings & Loans","0.49%","2.79%","N/A","N/A","6.25M","10.40K","0.10%","20.74K","0.4","4,415","11.96","12.22","2.17","3.50","71508.32","-1.33"
"ABNS.OB","12.75","14.90","17.00","0.62","1,301.54","1,285.71","4.20%","8.85%","90.56M","6.08M","3.34M","N/A","N/A","N/A","4.965","1.00","1.00","5.311","13.081","3.00","14.90","2.82","32.16M","N/A","6.39M","22.75%","52.49%","Financial","Regional - Pacific Banks","1.08%","18.27%","N/A","N/A","79.51M","N/A","N/A","N/A","N/A","735","14.70","15.00","2.04","3.50","6075.00","-1.46"
"ABOS.OB","0.42","0.65","2.00","-1.82","9,804.62","3,628.57","-77.00%","8.85%","11.35M","17.46M","8.46M","N/A","N/A","N/A","0.208","-0.23","-0.23","N/A","0.215","2.21","N/A","N/A","N/A","-4.31M","-3.81M","N/A","N/A","31-Dec","30-Jun-06","-50.34%","-75.44%","28.749","N/A","3.75M","N/A","N/A","N/A","N/A","6,500","","","0.00","3.50","0.00","-3.50"
"ABP","2.90","3.11","9.25","5.5","243,552","399,357","-53.80%","8.85%","132.60M","42.64M","39.47M","N/A","N/A","N/A","-0.49","0.21","0.21","1.375","0.001","N/A","14.74","2.29","57.78M","39.39M","9.45M","16.27%","45.90%","31-Dec","30-Jun-06","14.13%","N/A","0.631","N/A","52.00K","1.17M","3.10%","1.33M","6.1","247,900","3.09","3.58","15.86","3.50","572546.00","12.36"
